"employees","salaries_2017","salary_adjustments","salaries_2018","got_raise"
"Employee 1",41022.2576698288,7334.80271766894,48357.0603874978,TRUE
"Employee 2",42581.5989123657,4290.64571391791,46872.2446262836,TRUE
"Employee 3",40209.7615366802,-127.494503976777,40082.2670327034,FALSE
"Employee 4",40590.2357096784,447.566910879686,41037.8026205581,TRUE
"Employee 5",41583.9202469215,6150.6821133662,47734.6023602877,TRUE
"Employee 6",44910.0820440799,3300.41459179483,48210.4966358747,TRUE
"Employee 7",43548.2297628187,6926.85371264815,50475.0834754668,TRUE
"Employee 8",40746.2339568883,2803.50241693668,43549.736373825,TRUE
"Employee 9",47751.1169109493,-3406.32888837717,44344.7880225722,FALSE
"Employee 10",46569.0984483808,-626.712488010526,45942.3859603703,FALSE
"Employee 11",42928.4813371487,7467.37244538963,50395.8537825383,TRUE
"Employee 12",46213.3510317653,2570.50435058773,48783.8553823531,TRUE
"Employee 13",40162.0822143741,-915.835966588929,39246.2462477852,FALSE
"Employee 14",47006.8695256487,3069.64615359902,50076.5156792477,TRUE
"Employee 15",40009.3841203488,301.671375054866,40311.0554954037,TRUE
"Employee 16",48565.0538047776,9369.45671448484,57934.5105192624,TRUE
"Employee 17",40276.967510581,4504.04606293887,44781.0135735199,TRUE
"Employee 18",41550.9521774948,3916.40492714942,45467.3571046442,TRUE
"Employee 19",42837.9866085015,8078.02828261629,50916.0148911178,TRUE
"Employee 20",49675.5808521993,8516.84376131743,58192.4246135168,TRUE
"Employee 21",47156.9131617434,6657.00039360672,53813.9135553502,TRUE
"Employee 22",45293.9865458757,4230.89184216224,49524.8783880379,TRUE
"Employee 23",47338.6939312331,-1886.22004468925,45452.4738865439,FALSE
"Employee 24",41183.2890193909,678.657364333048,41861.946383724,TRUE
"Employee 25",44513.5044236667,4756.4307868015,49269.9352104682,TRUE
"Employee 26",40414.745004382,5152.08959230222,45566.8345966842,TRUE
"Employee 27",43084.9989480339,-1581.0339723248,41503.9649757091,FALSE
"Employee 28",45837.5419257209,3720.83572554402,49558.3776512649,TRUE
"Employee 29",41438.1819963455,424.092297907919,41862.2742942534,TRUE
"Employee 30",49894.2400561646,6144.602925051,56038.8429812156,TRUE
"Employee 31",43300.2261817455,6513.27365078032,49813.4998325258,TRUE
"Employee 32",48881.5161166713,1819.96003608219,50701.4761527535,TRUE
"Employee 33",47416.9123591855,9990.2139569167,57407.1263161022,TRUE
"Employee 34",47544.4968207739,8964.75824643858,56509.2550672125,TRUE
"Employee 35",49101.1448460631,5771.06836950406,54872.2132155672,TRUE
"Employee 36",46393.8052277081,7652.82735112123,54046.6325788293,TRUE
"Employee 37",49908.6136068217,1133.04116996005,51041.6547767818,TRUE
"Employee 38",44978.6304030567,-55.8295845985413,44922.8008184582,FALSE
"Employee 39",44793.6175018549,2877.59111379273,47671.2086156476,TRUE
"Employee 40",44071.1397631094,-2117.04398854636,41954.095774563,FALSE
"Employee 41",40899.1054049693,5545.83150194958,46444.9369069189,TRUE
"Employee 42",43822.0896665007,8519.29851341993,52341.3881799206,TRUE
"Employee 43",45643.4548390098,5696.35537802242,51339.8102170322,TRUE
"Employee 44",45811.837813817,4996.69992364943,50808.5377374664,TRUE
"Employee 45",42519.242183771,-4144.03263363056,38375.2095501404,FALSE
"Employee 46",47905.851805117,7191.72965502366,55097.5814601406,TRUE
"Employee 47",45678.0255772173,-2912.05445653759,42765.9711206798,FALSE
"Employee 48",49140.8977960236,4802.1912353579,53943.0890313815,TRUE
"Employee 49",49797.4207554944,4971.5495062992,54768.9702617936,TRUE
"Employee 50",48805.9683097526,2350.11585522443,51156.0841649771,TRUE
"Employee 51",40574.7181735933,-4672.77546995319,35901.9427036401,FALSE
"Employee 52",45365.6815970317,1267.64625776559,46633.3278547972,TRUE
"Employee 53",42540.1778332889,2742.02171247452,45282.1995457634,TRUE
"Employee 54",46248.266112525,7724.71046540886,53972.9765779339,TRUE
"Employee 55",46610.7811359689,8584.88051453605,55195.6616505049,TRUE
"Employee 56",42015.6684983522,6966.31488855928,48981.9833869115,TRUE
"Employee 57",41601.0419093072,7354.93064625189,48955.9725555591,TRUE
"Employee 58",45202.3115521297,3295.23892025463,48497.5504723843,TRUE
"Employee 59",48034.5281446353,8178.33230714314,56212.8604517784,TRUE
"Employee 60",42566.4663128555,4113.58674406074,46680.0530569162,TRUE
"Employee 61",46101.9613896497,676.710056141019,46778.6714457907,TRUE
"Employee 62",40971.7338741757,-1956.22282219119,39015.5110519845,FALSE
"Employee 63",48677.5918188505,-39.4157890696079,48638.1760297809,FALSE
"Employee 64",40542.1864031814,3365.90813589282,43908.0945390742,TRUE
"Employee 65",40899.8366910964,-3347.78849617578,37552.0481949206,FALSE
"Employee 66",44124.0117442794,592.507559340447,44716.5193036199,TRUE
"Employee 67",45797.4890619516,8495.15441339463,54292.6434753463,TRUE
"Employee 68",49809.6096864901,-986.990574747324,48822.6191117428,FALSE
"Employee 69",47997.9497753084,1925.41107302532,49923.3608483337,TRUE
"Employee 70",42003.9157243446,3807.84864653833,45811.7643708829,TRUE
"Employee 71",43185.0016256794,1569.88919945434,44754.8908251338,TRUE
"Employee 72",40119.2223792896,9060.61482965015,49179.8372089397,TRUE
"Employee 73",49415.2331887744,-2643.58260086738,46771.6505879071,FALSE
"Employee 74",44274.7488967143,2177.77024605311,46452.5191427674,TRUE
"Employee 75",45324.0779158659,5371.42120650969,50695.4991223756,TRUE
"Employee 76",47982.0104571991,3078.71786993928,51060.7283271383,TRUE
"Employee 77",40993.3346277103,-19.9406011961401,40973.3940265141,FALSE
"Employee 78",44996.6628639959,4319.81280911714,49316.475673113,TRUE
"Employee 79",45239.3457642756,5322.4154911004,50561.761255376,TRUE
"Employee 80",44307.1491271257,-3852.57891961373,40454.570207512,FALSE
"Employee 81",47144.9376898818,5011.5540844854,52156.4917743672,TRUE
"Employee 82",43437.0435797609,7989.50253636576,51426.5461161267,TRUE
"Employee 83",48559.6744017676,-462.156995199621,48097.5174065679,FALSE
"Employee 84",49121.1987799034,122.531796805561,49243.7305767089,TRUE
"Employee 85",46532.1570285596,7629.05846349895,54161.2154920585,TRUE
"Employee 86",45642.3401040956,6665.48583074473,52307.8259348404,TRUE
"Employee 87",43556.1433434486,-3670.37996067666,39885.763382772,FALSE
"Employee 88",40942.5092930906,2230.78194539994,43173.2912384905,TRUE
"Employee 89",48776.3020489365,3902.09599514492,52678.3980440814,TRUE
"Employee 90",47060.6257906184,-1420.49568123184,45640.1301093865,FALSE
"Employee 91",46397.2890144214,-3393.30316288397,43003.9858515374,FALSE
"Employee 92",49606.7637298256,-45.8906136918813,49560.8731161337,FALSE
"Employee 93",48010.474180337,4459.44056729786,52469.9147476349,TRUE
"Employee 94",41030.097855255,-4174.9081981834,36855.1896570716,FALSE
"Employee 95",42811.3877121359,1140.28798183426,43951.6756939702,TRUE
"Employee 96",49621.3454683311,-1653.26885064133,47968.0766176898,FALSE
"Employee 97",41258.0808578059,2922.82066657208,44180.901524378,TRUE
"Employee 98",47128.4043253399,-3204.41731018946,43923.9870151505,FALSE
"Employee 99",49437.8488813527,4531.46500047296,53969.3138818257,TRUE
"Employee 100",41450.8778369054,5746.83219427243,47197.7100311778,TRUE
